pid,rank,access_state
105852170,12,3
1062544419,12,3
1065339968,12,3
1067147291,12,3
1077092557,12,3
1080136424,12,3
108111539,12,3
108341835,12,3
1084431527,12,3
1086777056,12,3
1096645574,12,3
1100279818,12,3
1100465214,12,3
1102912078,12,3
1103614966,12,3
1107682114,12,3
1108387915,12,3
1119165607,12,3
1121052023,12,3
1128652217,12,3
1129467622,12,3
1134489984,12,3
1135340255,12,3
1136173490,12,3
113793442,12,3
1138998006,12,3
1139522045,12,3
1141690279,12,3
1141934588,12,3
1143583255,12,3
114701969,12,3
1149430849,12,3
1151062590,12,3
1151428467,12,3
1155903897,12,3
1156178974,12,3
1159253358,12,3
1160964797,12,3
1161161747,12,3
1164562806,12,3
1167117372,12,3
1168930800,12,3
1169446548,12,3
117548418,12,3
1183770498,12,3
1185530919,12,3
1188159711,12,3
1194963428,12,3
1203340264,12,3
1213990462,12,3
1216719373,12,3
1216931931,12,3
1220094393,12,3
1227535749,12,3
1236265194,12,3
1238696766,12,3
1240709146,12,3
1249550869,12,3
125054776,12,3
1252999743,12,3
1255108378,12,3
1256993707,12,3
1257848856,12,3
1260261665,12,3
1262418025,12,3
1275263318,12,3
1278898770,12,3
128619596,12,3
1286976603,12,3
1293528391,12,3
1297206619,12,3
143897988,12,3
144791488,12,3
144869714,12,3
145204671,12,3
149627527,12,3
153596471,12,3
156188909,12,3
157212273,12,3
160247134,12,3
162695450,12,3
169327699,12,3
174022912,12,3
192463346,12,3
192476771,12,3
198657041,12,3
201570953,12,3
203664291,12,3
212403945,12,3
219862597,12,3
233147995,12,3
236509887,12,3
253469067,12,3
257921233,12,3
258673923,12,3
258930036,12,3
277398864,12,3
287219368,12,3
287529176,12,3
287786422,12,3
288522498,12,3
300348078,12,3
303432376,12,3
312354320,12,3
318355380,12,3
321736587,12,3
329452471,12,3
334292227,12,3
339720041,12,3
349118550,12,3
356464552,12,3
374061898,12,3
376421737,12,3
383230296,12,3
395338160,12,3
398103180,12,3
401011238,12,3
405852523,12,3
412204150,12,3
437008183,12,3
449803717,12,3
458797037,12,3
461284691,12,3
479901189,12,3
48490551,12,3
486284607,12,3
59497764,12,3
82915528,12,3
841092473,12,3
845851649,12,3
847116970,12,3
847687906,12,3
853274333,12,3
857574188,12,3
861268311,12,3
864304713,12,3
868860217,12,3
876044766,12,3
878786101,12,3
884914847,12,3
888123050,12,3
890241734,12,3
907822484,12,3
908937326,12,3
909144424,12,3
909154520,12,3
914205440,12,3
916942030,12,3
923301060,12,3
927220952,12,3
934359185,12,3
968418991,12,3
97988928,12,3
98362153,12,3
987588959,12,3
993082635,12,3
994248863,12,3
996098430,12,3
